Date_class,retweet_count,favorite_count,followers_count,predict_class_label
0,165,0,0.435,1
0,59,273,6.82,4
0,39,0,0.0364,4
2,22,0,6.82,1
2,180,1192,6.82,4
2,114,651,6.82,4
3,1,5,0.0364,4
3,1,10,0.0364,4
3,11,0,0.435,4
3,1372,0,6.82,4
2,1429,0,0.435,1
2,12,0,1.43,4
1,99,0,1.43,2
0,55,423,6.82,2
4,1,10,0.136,4
2,1006,0,0.435,3
3,4900,11329,43,2
4,4,0,1.43,1
0,18,56,0.136,2
4,7,10,0.136,4
3,41,351,6.82,4
2,4,0,1.43,4
0,10001,81022,43,2
4,13,30,0.136,3
0,31,288,0.136,2
4,6,10,0.136,4
2,19,0,0.0364,4
0,130,688,6.82,4
3,1207,0,0.136,4
1,139169,0,1.43,2
3,9,0,1.43,3
4,457,0,43,2
3,576,0,43,2
1,26,0,6.82,4
1,773,0,43,2
0,84967,93331,43,2
2,247,3761,6.82,2
3,19,0,1.43,3
3,1773,0,0.435,4
0,3,0,0.0364,2
0,1645,0,0.435,2
2,3,0,1.43,1
3,47,0,0.435,4
3,1334,2787,0.435,1
0,0,2,1.43,3
3,4,17,0.136,4
0,17,0,0.0364,3
2,18,0,1.43,4
0,22,0,6.82,2
3,28,96,43,2
1,591,1830,6.82,4
2,25,0,0.0364,4
0,27,149,1.43,1
0,0,0,0.0364,2
2,720,0,0.435,1
0,2477,14162,43,4
3,55,395,6.82,2
3,3,0,0.0364,4
2,91,652,6.82,4
3,4,0,0.0364,2
1,50,0,0.435,4
2,4,65,1.43,1
1,660,0,0.435,2
3,6,11,0.136,3
1,3,0,1.43,3
0,2055,8781,43,2
0,289,1315,6.82,4
1,40,343,6.82,3
3,86,0,0.435,4
4,1,7,0.136,4
3,96,1875,43,2
4,41,0,0.136,4
2,1112,0,0.435,2
0,17,0,0.136,3
3,0,3,1.43,2
0,277,3327,1.43,4
0,0,11,1.43,3
2,72,0,0.435,1
3,1,8,0.0364,4
0,7,64,0.136,2
3,18,50,0.136,2
3,6,0,0.136,4
4,0,4,0.0364,4
2,337,767,43,2
3,29369,193107,43,3
4,46,0,0.136,3
1,0,0,1.43,4
2,85,293,1.43,4
3,3084,17795,43,2
0,61,896,6.82,4
0,87,470,6.82,3
0,2,4,0.0364,4
3,757,2628,0.435,1
3,1643,0,0.435,3
2,3,27,1.43,1
0,10506,3777,43,2
2,6,33,1.43,4
4,6,0,0.136,2
0,9780,11883,43,4
3,1,0,0.0364,2
3,12,0,0.435,3
0,0,20,1.43,4
3,28,0,6.82,3
0,19774,89880,43,3
0,31,0,6.82,4
4,289,3052,43,4
3,160,2327,43,2
3,0,2,0.0364,4
4,15,20,0.136,2
1,1301,0,0.435,2
0,2146,4591,43,4
1,43,0,6.82,4
0,217,1296,6.82,4
1,14,79,6.82,2
3,5382,5165,43,2
4,9685,20558,43,2
0,52,359,43,2
2,21,112,1.43,1
1,6,32,1.43,4
2,1,14,0.136,2
1,427,0,0.435,1
3,311,0,43,4
0,18,131,6.82,4
2,11,15,0.136,4
3,7981,0,1.43,1
4,216,629,43,2
3,3,16,0.136,1
3,0,1,1.43,4
3,3,0,0.0364,4
2,4,6,1.43,4
3,443,524,43,2
3,223,0,0.435,3
0,862,293,43,2
2,2,0,0.435,4
3,243,477,0.435,1
3,31,389,6.82,3
4,23,28,0.136,2
3,27,0,0.0364,4
0,635,2976,6.82,4
0,382,335,43,2
0,10,24,0.136,4
4,91,0,43,4
1,11,0,1.43,1
3,17,0,0.435,4
4,602,695,43,2
3,0,10,0.0364,4
0,46,0,0.0364,4
3,104,0,1.43,2
3,0,0,0.0364,4
3,7,48,1.43,4
2,42,354,6.82,4
3,90,0,43,3
0,8,22,0.136,4
1,493,0,0.435,4
3,2,0,0.0364,2
0,2,5,0.136,3
2,65,0,6.82,4
2,6,0,1.43,2
0,12,48,0.136,2
3,6,0,1.43,3
3,42,1163,43,2
4,5,7,0.136,3
0,4868,14716,6.82,2
3,2,0,0.0364,2
2,19,0,0.435,1
3,2581,2054,43,4
0,88,579,6.82,4
3,302,717,43,4
1,8,0,1.43,4
2,11,87,6.82,2
3,110,1636,6.82,4
3,0,1,0.0364,2
0,6481,17626,43,2
2,27,0,6.82,2
3,5,0,0.0364,4
0,1685,0,0.435,2
1,10,0,6.82,4
4,2800,5958,43,4
3,3,0,0.136,2
3,3,4,0.136,1
4,6,20,0.136,2
0,0,1,0.0364,4
0,3,0,1.43,1
4,257,1174,43,4
3,140,0,1.43,3
0,14,157,6.82,4
4,48,0,0.0364,4
4,9201,11114,43,2
4,2,13,0.0364,4
0,0,5,0.0364,2
1,5,0,1.43,3
0,274,339,43,2
1,728,3090,6.82,4
1,42,0,0.435,2
2,126,0,0.435,1
3,4,0,0.0364,4
1,187,288,0.435,4
3,0,0,0.136,4
0,1979,3875,43,2
2,185,779,6.82,4
