date,retweet_count,favorite_count,followers_count,predict_class_label
2019-02-06 14:11:05,26,78,0.435,4
2019-02-06 14:09:30,75,0,0.435,4
2019-02-06 14:09:29,64,0,0.435,4
2019-02-06 14:09:19,73,0,0.435,3
2019-02-06 14:09:12,193,0,0.435,4
2019-02-06 14:08:57,484,0,0.435,1
2019-02-06 14:08:48,413,0,0.435,4
2019-02-06 14:07:17,9,0,0.435,3
2019-02-06 14:06:46,78,0,0.435,4
2019-02-06 14:06:04,27,68,0.435,1
2019-02-06 14:04:09,25,0,0.435,1
2019-02-06 14:02:57,974,0,0.435,4
2019-02-06 14:02:28,10,0,0.435,4
2019-02-06 14:02:25,56,0,0.435,4
2019-02-06 14:02:19,15,39,0.435,3
2019-02-06 14:00:14,41,0,0.435,1
2019-02-06 14:00:10,21,83,0.435,1
2019-02-06 13:58:31,291,0,0.435,4
2019-02-06 13:56:23,20,0,0.435,1
2019-02-06 13:54:43,164,0,0.435,1
2019-02-06 13:54:36,262,0,0.435,3
2019-02-06 13:54:27,101,0,0.435,4
2019-02-06 13:54:19,69,0,0.435,4
2019-02-06 13:53:58,10941,0,0.435,1
2019-02-06 13:53:53,298,447,0.435,4
2019-02-06 13:50:56,33,0,0.435,2
2019-02-06 13:48:17,10,0,0.435,4
2019-02-06 13:48:04,3435,0,0.435,4
2019-02-06 13:47:27,79,0,0.435,1
2019-02-06 13:45:56,315,0,0.435,3
2019-02-06 13:44:47,66,0,0.435,1
2019-02-06 13:44:36,31,0,0.435,4
2019-02-06 13:42:56,45,0,0.435,1
2019-02-06 13:41:41,159,0,0.435,2
2019-02-06 13:35:01,90,0,0.435,1
2019-02-06 13:34:43,26,0,0.435,4
2019-02-06 13:34:26,954,0,0.435,1
2019-02-06 13:34:03,8,30,0.435,1
2019-02-06 13:34:02,22,27,0.435,1
2019-02-06 13:10:17,9,0,0.435,3
2019-02-06 13:10:08,18,0,0.435,1
2019-02-06 13:09:59,8,0,0.435,2
2019-02-06 13:09:28,7,0,0.435,2
2019-02-06 13:09:24,24,53,0.435,4
2019-02-06 13:05:08,15,0,0.435,4
2019-02-06 13:05:03,31,50,0.435,1
2019-02-06 13:01:50,124,0,0.435,4
2019-02-06 13:01:09,318,0,0.435,1
2019-02-06 12:59:55,124,0,0.435,4
2019-02-06 12:58:09,124,0,0.435,3
2019-02-06 12:57:29,821,0,0.435,1
2019-02-06 12:57:29,13,0,0.435,4
2019-02-06 12:57:29,20,0,0.435,1
2019-02-06 12:57:29,957,0,0.435,1
2019-02-06 12:54:41,845,0,0.435,1
2019-02-06 12:47:12,2,0,0.435,4
2019-02-06 12:47:10,30,70,0.435,2
2019-02-06 12:44:08,95,0,0.435,3
2019-02-06 12:43:36,6,0,0.435,4
2019-02-06 12:43:24,11,0,0.435,4
2019-02-06 12:43:00,13,0,0.435,1
2019-02-06 12:40:36,5,18,0.435,4
2019-02-06 12:36:12,5,0,0.435,4
2019-02-06 12:23:24,12,0,0.435,3
2019-02-06 12:23:24,25,0,0.435,2
2019-02-06 12:22:55,57,0,0.435,1
2019-02-06 12:22:46,82,0,0.435,1
2019-02-06 12:22:30,254,0,0.435,2
2019-02-06 12:21:10,52,0,0.435,1
2019-02-06 12:21:09,7,0,0.435,4
2019-02-06 12:21:09,11,0,0.435,2
2019-02-06 12:20:38,13,0,0.435,3
2019-02-06 12:20:16,57,0,0.435,3
2019-02-06 12:20:07,19,0,0.435,2
2019-02-06 12:19:43,45,0,0.435,2
2019-02-06 12:19:22,93,0,0.435,4
2019-02-06 11:34:43,550,0,0.435,3
2019-02-06 11:34:38,44,0,0.435,1
2019-02-06 11:34:23,17,0,0.435,4
2019-02-06 11:34:09,11,0,0.435,3
2019-02-06 11:33:21,1536,0,0.435,3
2019-02-06 11:33:16,316,0,0.435,2
2019-02-06 11:33:00,978,0,0.435,3
2019-02-06 11:32:38,199,0,0.435,1
2019-02-06 11:32:27,183,0,0.435,4
2019-02-06 11:32:24,84,82,0.435,4
2019-02-06 11:28:32,6,0,0.435,1
2019-02-06 09:49:47,30,98,0.435,1
2019-02-06 09:46:41,2083,4492,0.435,1
2019-02-06 09:43:36,666,1010,0.435,2
2019-02-06 05:10:12,388,938,0.435,3
2019-02-06 04:11:17,139,332,0.435,1
2019-02-06 04:03:55,21,36,0.435,3
2019-02-06 02:27:49,104,187,0.435,3
2019-02-05 16:21:40,42,104,0.435,3
2019-02-05 16:02:39,468,601,0.435,1
2019-02-05 13:52:40,43,0,0.435,4
2019-02-05 13:52:37,55,0,0.435,3
2019-02-05 13:50:43,147,0,0.435,2
2019-02-05 13:50:36,4,0,0.435,2
2019-02-05 13:50:09,41,0,0.435,1
2019-02-05 13:49:30,35,0,0.435,3
2019-02-05 13:49:16,1903,0,0.435,1
2019-02-05 13:47:34,86,0,0.435,1
2019-02-05 13:46:18,41,0,0.435,4
2019-02-05 13:46:18,53,0,0.435,1
2019-02-05 13:45:41,612,0,0.435,4
2019-02-05 13:45:25,19,0,0.435,4
2019-02-05 13:45:13,58,0,0.435,1
2019-02-05 13:44:48,585,0,0.435,1
2019-02-05 13:43:30,7,0,0.435,4
2019-02-05 10:44:31,51,0,0.435,1
2019-02-05 10:42:57,84,0,0.435,1
2019-02-05 10:42:34,18,0,0.435,1
2019-02-05 10:40:36,7,0,0.435,2
2019-02-05 10:40:23,23,0,0.435,2
2019-02-05 10:40:07,48,0,0.435,4
2019-02-05 10:40:03,79,0,0.435,1
2019-02-05 10:39:22,6,0,0.435,3
2019-02-05 10:27:33,145,0,0.435,4
2019-02-05 10:25:44,30,0,0.435,1
2019-02-05 10:20:50,235,0,0.435,1
2019-02-05 10:20:34,69,0,0.435,1
2019-02-05 10:20:06,1185,0,0.435,1
2019-02-05 10:20:06,4947,0,0.435,1
2019-02-05 10:19:20,405,0,0.435,4
2019-02-05 10:19:03,214,0,0.435,4
2019-02-05 10:18:59,58,0,0.435,4
2019-02-05 10:18:29,21,0,0.435,1
2019-02-05 10:18:08,919,0,0.435,1
2019-02-05 10:17:50,204,0,0.435,1
2019-02-05 10:14:43,782,0,0.435,1
2019-02-05 10:04:37,907,2036,0.435,3
2019-02-05 09:42:16,493,0,0.435,1
2019-02-05 09:41:39,45,0,0.435,4
2019-02-05 09:38:57,5,0,0.435,3
2019-02-05 09:38:30,327,0,0.435,2
2019-02-05 09:37:45,136,0,0.435,2
2019-02-05 07:49:48,755,0,0.435,2
2019-02-05 07:49:40,28,0,0.435,2
2019-02-05 07:48:41,42,0,0.435,2
2019-02-05 07:45:04,82,0,0.435,4
2019-02-05 07:44:59,8,0,0.435,3
2019-02-05 07:44:21,8,0,0.435,4
2019-02-05 07:44:02,416,824,0.435,1
2019-02-05 04:35:32,1099,0,0.435,1
2019-02-05 04:35:32,172,0,0.435,4
2019-02-05 04:35:16,224,0,0.435,4
2019-02-05 04:33:53,1,13,0.435,3
2019-02-05 04:32:09,53,0,0.435,1
2019-02-05 04:31:48,35,0,0.435,2
2019-02-05 04:27:47,338,0,0.435,1
2019-02-05 04:27:24,51,0,0.435,1
2019-02-05 04:27:13,122,0,0.435,1
2019-02-05 04:27:00,435,0,0.435,1
2019-02-05 04:25:33,245,0,0.435,3
2019-02-05 04:25:17,1573,0,0.435,3
2019-02-05 04:23:47,55,276,0.435,4
2019-02-05 04:20:27,0,1,0.435,3
2019-02-05 04:18:51,429,0,0.435,2
2019-02-05 04:18:08,701,0,0.435,1
2019-02-05 04:10:48,536,0,0.435,1
2019-02-05 04:10:21,1069,0,0.435,1
2019-02-05 04:10:03,593,0,0.435,4
2019-02-05 04:09:29,5760,0,0.435,1
2019-02-05 04:07:06,1990,0,0.435,4
2019-02-05 04:06:11,727,0,0.435,1
2019-02-05 04:05:58,15,0,0.435,1
2019-02-05 04:05:40,135,0,0.435,2
2019-02-05 04:04:55,988,0,0.435,2
2019-02-05 02:28:37,210,311,0.435,3
2019-02-04 14:28:04,11,0,0.435,3
2019-02-04 12:43:40,47,0,0.435,2
2019-02-04 12:42:56,490,0,0.435,2
2019-02-04 10:39:57,222,0,0.435,1
2019-02-04 10:39:42,14,0,0.435,4
2019-02-04 10:39:27,438,0,0.435,4
2019-02-04 10:39:17,4333,0,0.435,1
2019-02-04 10:38:37,2166,0,0.435,1
2019-02-04 10:38:22,341,0,0.435,4
2019-02-04 10:38:18,508,0,0.435,4
2019-02-04 10:38:06,13,0,0.435,1
2019-02-04 10:37:50,269,0,0.435,2
