date,retweet_count,favorite_count,followers_count,predict_class_label
2018-03-19 03:17:27,10580,110780,10,2
2018-03-19 02:36:51,3504,70580,10,4
2018-03-17 09:30:27,1644,29037,10,2
2018-03-13 16:54:57,2045,41032,10,2
2018-03-12 04:34:46,1937,33713,10,2
2018-03-11 11:22:41,6708,136483,10,4
2018-03-10 17:16:58,1589,28607,10,2
2018-03-10 08:19:43,2820,58766,10,2
2018-03-09 08:12:38,1596,20432,10,2
2018-03-09 08:02:35,789,0,10,4
2018-03-09 07:40:27,2377,41593,10,4
2018-03-09 05:29:30,3908,74951,10,2
2018-03-08 12:52:58,1445,21104,10,4
2018-03-08 12:44:42,3905,73331,10,4
2018-03-08 04:20:55,5626,49318,10,4
2018-03-07 08:49:50,1800,29398,10,3
2018-03-04 14:40:26,2150,37297,10,2
2018-03-04 06:11:54,3454,77607,10,1
2018-03-02 05:22:28,9252,117994,10,2
2018-03-01 08:36:13,2056,27460,10,4
2018-03-01 06:17:05,1822,31670,10,2
2018-02-28 16:55:37,1294,20277,10,4
2018-02-28 15:41:47,1571,26206,10,2
2018-02-28 05:34:41,6028,116158,10,2
2018-02-25 06:12:02,7990,99125,10,2
2018-02-20 12:17:42,372,0,10,4
2018-02-19 05:28:16,7810,132417,10,2
2018-02-16 19:14:17,12574,137227,10,2
2018-02-16 06:41:47,2658,41805,10,4
2018-02-15 05:41:28,4504,53095,10,4
2018-02-08 11:47:59,2554,37041,10,2
2018-02-07 08:18:48,5605,59379,10,4
2018-02-06 09:37:45,2253,37027,10,4
2018-02-05 10:18:45,5371,99306,10,2
2018-02-03 09:25:48,17230,139237,10,2
2018-01-29 16:49:32,6128,74020,10,2
2018-01-27 17:23:19,17306,160767,10,2
2018-01-10 14:24:49,5615,106350,10,2
2018-01-03 06:12:26,11313,184033,10,4
2018-01-01 09:52:20,11948,175779,10,2
2017-12-29 10:42:59,2660,44421,10,2
2017-12-27 07:09:39,1051,0,10,2
2017-12-27 06:36:52,94,976,10,4
2017-12-25 04:43:07,4556,75618,10,2
2017-12-22 14:18:57,5320,59999,10,2
2017-12-19 09:15:22,184,1627,10,4
2017-12-19 08:03:39,136,1199,10,4
2017-12-19 07:45:58,365,0,10,1
2017-12-19 05:17:20,328,6747,10,4
2017-12-19 05:16:56,131,2143,10,4
2017-12-19 05:16:42,140,2163,10,2
2017-12-19 05:16:06,216,4551,10,4
2017-12-19 05:15:56,168,3181,10,4
2017-12-19 05:15:38,135,2167,10,2
2017-12-19 05:15:24,208,3472,10,1
2017-12-19 05:15:00,118,1703,10,4
2017-12-19 05:14:49,162,2704,10,4
2017-12-19 05:14:35,137,2246,10,2
2017-12-19 05:14:14,114,1509,10,4
2017-12-19 05:13:51,509,9549,10,1
2017-12-19 05:13:30,185,4201,10,2
2017-12-19 05:13:14,115,1822,10,4
2017-12-19 05:12:32,106,1312,10,2
2017-12-19 05:11:48,110,1328,10,1
2017-12-19 05:11:32,468,5739,10,1
2017-12-19 05:11:06,105,1215,10,2
2017-12-19 05:10:52,97,1269,10,2
2017-12-19 05:10:39,135,1287,10,4
2017-12-19 05:10:15,108,1448,10,2
2017-12-19 05:10:01,91,1066,10,4
2017-12-19 05:09:00,94,1040,10,4
2017-12-19 05:08:49,91,1202,10,1
2017-12-19 05:08:29,98,1351,10,4
2017-12-19 05:08:01,149,2739,10,2
2017-12-19 05:07:22,86,825,10,4
2017-12-19 05:07:05,123,1999,10,4
2017-12-19 05:06:21,137,1562,10,4
2017-12-19 05:06:08,118,1787,10,4
2017-12-19 05:05:49,143,2135,10,4
2017-12-19 05:05:29,283,5117,10,4
2017-12-19 05:05:17,4768,46689,10,4
